bckoff/ 🔒 id Function _txt,bckoff/ title Function _txt,bckoff/ id Macro-Function _txt,bckoff/ (LK) label Macro-Function ,stake/ (USC) order Function _txt,wkld/ (RU) # per Function,wkld/ (RU) # macroFunction,wkld/ (RU) # highest Function,wkld/ (IF) label highest Function,wkld/ (JL) label highest Function,AIpty/ (RU) # macroFunction,AIpty/ (RU) # theory pty,AIpty/ (RU) highest pty- # Function,AIpty/ (IF) highest pty- label Function,AIpty/ (JL) highest pty- label Function
HpJ6QfobSoOTcdKnaOAeyg,Gestion de portefeuille,YPtKMttkTXigGSu-GtWLJg,Stratégie,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
j32zoN3NSAejo9D7ttkbGQ,Partenariats stratégiques,YPtKMttkTXigGSu-GtWLJg,Stratégie,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
gsMsbEBTSkWBGfHYHzl9aw,Stratégie de durabilité,YPtKMttkTXigGSu-GtWLJg,Stratégie,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
3xw7CBsjTOy0ClW0DCnNHw,Gestion des fournisseurs,ENYFzOgyQM2g3xNstVw89w,Achat,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
a-bp65MlzThSlH7XzOnsdsg,Approvisionnement stratégique,ENYFzOgyQM2g3xNstVw89w,Achat,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
keNjGbeGRpiaXv178c-CXg,Négociation de contrats,ENYFzOgyQM2g3xNstVw89w,Achat,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
DQDnYZu1Q9GCqMIGlywBYA,Analyse des dépenses,ENYFzOgyQM2g3xNstVw89w,Achat,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
FNmhOHs.SM6Ksc1PphJb2Q,Opérations d'achat,ENYFzOgyQM2g3xNstVw89w,Achat,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
mJAI6QkJTkSXs9j-L6h12Q,Gestion des risques fournisseurs,ENYFzOgyQM2g3xNstVw89w,Achat,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
MjvnYEPUT0edUiGEoWletQ,Gestion des catégories,ENYFzOgyQM2g3xNstVw89w,Achat,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
YiZwBeylRpG-UKjXygx5Rw,Approvisionnement durable,ENYFzOgyQM2g3xNstVw89w,Achat,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
